<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS,15,20130619,201500,127850.0000000,128100.0000000,127810.0000000,127980.0000000,7045
SPFB.RTS,15,20130619,203000,127990.0000000,128000.0000000,127720.0000000,127910.0000000,7512
SPFB.RTS,15,20130619,204500,127900.0000000,127950.0000000,127780.0000000,127890.0000000,6997
SPFB.RTS,15,20130619,210000,127890.0000000,127960.0000000,127830.0000000,127870.0000000,4322
SPFB.RTS,15,20130619,211500,127870.0000000,127980.0000000,127860.0000000,127900.0000000,3253
SPFB.RTS,15,20130619,213000,127900.0000000,128040.0000000,127890.0000000,127910.0000000,5545
SPFB.RTS,15,20130619,214500,127910.0000000,127920.0000000,127740.0000000,127850.0000000,4823
SPFB.RTS,15,20130619,220000,127850.0000000,128190.0000000,127760.0000000,128130.0000000,7579
SPFB.RTS,15,20130619,221500,128120.0000000,128190.0000000,126620.0000000,127450.0000000,93119
SPFB.RTS,15,20130619,223000,127430.0000000,127570.0000000,127080.0000000,127260.0000000,31250
SPFB.RTS,15,20130619,224500,127260.0000000,127700.0000000,126770.0000000,126920.0000000,63526
SPFB.RTS,15,20130619,230000,126910.0000000,126910.0000000,125440.0000000,125570.0000000,106564
SPFB.RTS,15,20130619,231500,125560.0000000,126040.0000000,125510.0000000,125740.0000000,39368
SPFB.RTS,15,20130619,233000,125740.0000000,126040.0000000,125570.0000000,125990.0000000,23943
SPFB.RTS,15,20130619,234500,125990.0000000,126090.0000000,125700.0000000,125700.0000000,15044
SPFB.RTS,15,20130620,000000,125700.0000000,125760.0000000,125550.0000000,125630.0000000,10703
SPFB.RTS,15,20130620,101500,125560.0000000,125560.0000000,123360.0000000,123390.0000000,114404
SPFB.RTS,15,20130620,103000,123400.0000000,123630.0000000,123220.0000000,123290.0000000,49816
SPFB.RTS,15,20130620,104500,123270.0000000,123500.0000000,123160.0000000,123230.0000000,33307
SPFB.RTS,15,20130620,110000,123220.0000000,123290.0000000,123080.0000000,123110.0000000,41251
SPFB.RTS,15,20130620,111500,123090.0000000,123660.0000000,123080.0000000,123630.0000000,44086
