<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.RTS;1;20130711;135800;129720.0000000;129970.0000000;129710.0000000;129970.0000000;9391
SPFB.RTS;1;20130711;135900;129950.0000000;130000.0000000;129900.0000000;129900.0000000;8685
SPFB.RTS;1;20130711;140000;129900.0000000;129940.0000000;129840.0000000;129880.0000000;2022
SPFB.RTS;1;20130711;140400;129870.0000000;129890.0000000;129770.0000000;129790.0000000;3499
SPFB.RTS;1;20130711;140500;129800.0000000;129800.0000000;129730.0000000;129740.0000000;2419
SPFB.RTS;1;20130711;140600;129750.0000000;129780.0000000;129670.0000000;129690.0000000;3060
SPFB.RTS;1;20130711;140700;129700.0000000;129700.0000000;129640.0000000;129650.0000000;2308
SPFB.RTS;1;20130711;140800;129660.0000000;129660.0000000;129610.0000000;129610.0000000;1302
SPFB.RTS;1;20130711;140900;129630.0000000;129710.0000000;129620.0000000;129660.0000000;1215
SPFB.RTS;1;20130711;141000;129660.0000000;129670.0000000;129610.0000000;129640.0000000;1289
SPFB.RTS;1;20130711;141100;129650.0000000;129660.0000000;129620.0000000;129640.0000000;608
SPFB.RTS;1;20130711;141200;129640.0000000;129730.0000000;129630.0000000;129670.0000000;1283
SPFB.RTS;1;20130711;141300;129670.0000000;129700.0000000;129640.0000000;129660.0000000;743
SPFB.RTS;1;20130711;141400;129660.0000000;129680.0000000;129640.0000000;129670.0000000;403
SPFB.RTS;1;20130711;141500;129660.0000000;129680.0000000;129620.0000000;129630.0000000;961
SPFB.RTS;1;20130711;141600;129640.0000000;129650.0000000;129610.0000000;129610.0000000;642
SPFB.RTS;1;20130711;141700;129630.0000000;129630.0000000;129600.0000000;129630.0000000;588
SPFB.RTS;1;20130711;141800;129630.0000000;129640.0000000;129600.0000000;129630.0000000;701
SPFB.RTS;1;20130711;141900;129640.0000000;129680.0000000;129630.0000000;129650.0000000;1078
SPFB.RTS;1;20130711;142000;129650.0000000;129670.0000000;129630.0000000;129640.0000000;641
SPFB.RTS;1;20130711;142100;129640.0000000;129650.0000000;129580.0000000;129580.0000000;1571
SPFB.RTS;1;20130711;142200;129580.0000000;129650.0000000;129570.0000000;129600.0000000;1467
SPFB.RTS;1;20130711;142300;129600.0000000;129660.0000000;129600.0000000;129620.0000000;1766
SPFB.RTS;1;20130711;142400;129630.0000000;129650.0000000;129610.0000000;129640.0000000;343
SPFB.RTS;1;20130711;142500;129650.0000000;129670.0000000;129640.0000000;129650.0000000;474
SPFB.RTS;1;20130711;142600;129650.0000000;129680.0000000;129630.0000000;129640.0000000;713
SPFB.RTS;1;20130711;142700;129630.0000000;129640.0000000;129580.0000000;129600.0000000;947
SPFB.RTS;1;20130711;142800;129610.0000000;129630.0000000;129590.0000000;129620.0000000;498
SPFB.RTS;1;20130711;142900;129620.0000000;129630.0000000;129560.0000000;129580.0000000;901
SPFB.RTS;1;20130711;143000;129590.0000000;129600.0000000;129440.0000000;129520.0000000;5962
SPFB.RTS;1;20130711;143100;129530.0000000;129550.0000000;129440.0000000;129490.0000000;1432
SPFB.RTS;1;20130711;143200;129490.0000000;129580.0000000;129490.0000000;129570.0000000;1249
SPFB.RTS;1;20130711;143300;129560.0000000;129630.0000000;129560.0000000;129630.0000000;1086
SPFB.RTS;1;20130711;143400;129610.0000000;129660.0000000;129600.0000000;129610.0000000;995
SPFB.RTS;1;20130711;143500;129610.0000000;129620.0000000;129570.0000000;129580.0000000;578
SPFB.RTS;1;20130711;143600;129580.0000000;129600.0000000;129530.0000000;129540.0000000;1148
SPFB.RTS;1;20130711;143700;129550.0000000;129590.0000000;129520.0000000;129590.0000000;1657
SPFB.RTS;1;20130711;143800;129570.0000000;129600.0000000;129560.0000000;129580.0000000;1301
SPFB.RTS;1;20130711;143900;129580.0000000;129600.0000000;129570.0000000;129590.0000000;439
